01001;ALEGRIA-DULANTZI
01002;ALORIA
01003;AREXOLA
01004;ARTZINIEGA
01006;ARMIÑON
01008;ARROIABE
01009;ALBEIZ/ALBÉNIZ
01010;AGIÑAGA
01011;BAÑOS DE EBRO/MAÑUETA
01013;AUDIKANA
01014;BERANTEVILLA
01016;ANGOSTINA
01017;ANTOÑANA
01018;ACOSTA/OKOIZTA
01019;KRIPAN
01020;ANDA
01021;AÑUA
01022;ELCIEGO
01023;ELVILLAR/BILAR
01027;AZILU
01028;LABASTIDA/BASTIDA
01030;LAGRAN
01031;CAMPILLAR (EL)
01032;ASSA
01033;LAPUEBLA DE LABARCA
01034;LEZA
01036;LAUDIO/LLODIO
01037;APELLÁNIZ/APILAIZ
01039;MOREDA DE ÁLAVA/MOREDA ARMORED
01041;NAVARIDAS
01042;IRABIEN
01043;BARRIOBUSTO/GORREBUSTO
01044;BAROJA-ZUMENTU
01046;ANTEZANA DE LA RIBERA
01047;IGAI
01049;ATIEGA/ATIAGA
01051;ALANGUA
01052;SAMANIEGO
01053;ADANA
01054;ABEZIA
01055;ACEBEDO
01056;ALDA
01057;VILLABUENA DE ALAVA/ESKUEVILLA
01058;ELOSU
01059;ABETXUKO
01060;YECORA/IEKORA
01061;ZALDUONDO
01062;BERGANZO
01063;ALTUBE
01901;MONTEVITE/MANDAITA
01902;ALCEDO
02001;ABENGIBRE
02002;ALATOZ
02003;AGUAS NUEVAS
02004;ALBATANA
02005;ALBOREA
02006;ALCADOZO
02007;ALCALA DEL JUCAR
02008;ALCARAZ
02009;ALMANSA
02010;ALPERA
02011;AYNA
02012;BALAZOTE
02013;BALSA DE VES
02014;BALLESTERO (EL)
02015;BARRAX
02016;BIENSERVIDA
02017;ALTICO (EL)
02018;BONETE
02019;BONILLO (EL)
02020;CARCELEN
02021;CASAS DE JUAN NUÑEZ
02022;BERRO
02023;CASAS DE VES
02024;CASAS-IBAÑEZ
02025;CAUDETE
02026;CENIZATE
02027;CORRAL-RUBIO
02028;ARROYOFRIO
02029;CASA BLANCA DE LOS RIOTERCASA
02030;ELCHE DE LA SIERRA
02031;FEREZ
02032;FUENSANTA
02033;FUENTE-ALAMO
02034;BORMATE
02035;GINETA (LA)
02036;GOLOSALVO
02037;AGRA
02038;HERRERA (LA)
02039;CASILLAS DE MARIN DE ABAJCASIL
02040;HOYA-GONZALO
02041;ALCOZAREJOS
02042;ABEJUELA
